TRANSACTION_ID,TRANSACTION_DATE,STORE_NAME,CITY,PRODUCT_NAME,CATEGORY_DESC,GRAIN,UNIT_PRICE,ITEM_TOTAL_PRICE
TRX-SuperIndoKemang-000001,2024-03-29,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,920,349.0,321080.0
TRX-SuperIndoKemang-000001,2024-03-29,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,895,749.0,670355.0
TRX-SuperIndoKemang-000001,2024-03-29,Super Indo Kemang,Jakarta Selatan,Sedaap M/G A/Kris,Seasoning,991,3100.0,3072100.0
TRX-SuperIndoKemang-000001,2024-03-29,Super Indo Kemang,Jakarta Selatan,K/G Malkist Aroni,Snacks,509,8990.0,4575910.0
TRX-SuperIndoKemang-000002,2024-08-01,Super Indo Kemang,Jakarta Selatan,Wortel Berastagi,Vegetables,424,103.0,43672.0
TRX-SuperIndoKemang-000002,2024-08-01,Super Indo Kemang,Jakarta Selatan,Kraft Cheddar CH1,Dairy,385,23990.0,9236150.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,G/F UHT F/CRM950,Dairy,210,23990.0,5037900.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,416,21990.0,9147840.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,72,749.0,53928.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,Kanzler Sngls Keju,Snacks,905,8690.0,7864450.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,305,21990.0,6706950.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,150,21990.0,3298500.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,428,12390.0,5302920.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,PRB Superior 150ml,Beverages,845,17950.0,15167750.0
TRX-SuperIndoKemang-000003,2024-03-22,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,393,349.0,137157.0
TRX-SuperIndoKemang-000004,2024-03-17,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,903,12390.0,11188170.0
TRX-SuperIndoKemang-000004,2024-03-17,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,511,749.0,382739.0
TRX-SuperIndoKemang-000004,2024-03-17,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,760,749.0,569240.0
TRX-SuperIndoKemang-000004,2024-03-17,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,723,749.0,541527.0
TRX-SuperIndoKemang-000004,2024-03-17,Super Indo Kemang,Jakarta Selatan,Kraft Cheddar CH1,Dairy,955,23990.0,22910450.0
TRX-SuperIndoKemang-000005,2024-08-21,Super Indo Kemang,Jakarta Selatan,Energen Vanilla 10,Beverages,126,22790.0,2871540.0
TRX-SuperIndoKemang-000005,2024-08-21,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,637,749.0,477113.0
TRX-SuperIndoKemang-000005,2024-08-21,Super Indo Kemang,Jakarta Selatan,Jamur ENOKIDK100,Vegetables,58,5990.0,347420.0
TRX-SuperIndoKemang-000005,2024-08-21,Super Indo Kemang,Jakarta Selatan,RTE Nasi Ayam Geprek,Ready-to-Eat,514,16450.0,8455300.0
TRX-SuperIndoKemang-000005,2024-08-21,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,433,349.0,151117.0
TRX-SuperIndoKemang-000005,2024-08-21,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,804,749.0,602196.0
TRX-SuperIndoKemang-000005,2024-08-21,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,240,349.0,83760.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,G/F UHT F/CRM950,Dairy,846,23990.0,20295540.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Wortel Berastagi,Vegetables,466,103.0,47998.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,676,12390.0,8375640.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Kanzler Sngls Keju,Snacks,451,8690.0,3919190.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,375,349.0,130875.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Energen Vanilla 10,Beverages,201,22790.0,4580790.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Telur Ayam Negeri,Eggs,340,269.5,91630.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,398,12390.0,4931220.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,264,12390.0,3270960.0
TRX-SuperIndoKemang-000006,2024-03-09,Super Indo Kemang,Jakarta Selatan,La Fonte Macaroni,Pasta,639,8990.0,5744610.0
TRX-SuperIndoKemang-000007,2024-05-14,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,433,21990.0,9521670.0
TRX-SuperIndoKemang-000007,2024-05-14,Super Indo Kemang,Jakarta Selatan,Brokoli,Vegetables,789,107.0,84423.0
TRX-SuperIndoKemang-000007,2024-05-14,Super Indo Kemang,Jakarta Selatan,Telur Ayam Negeri,Eggs,830,269.5,223685.0
TRX-SuperIndoKemang-000007,2024-05-14,Super Indo Kemang,Jakarta Selatan,Energen Vanilla 10,Beverages,970,22790.0,22106300.0
TRX-SuperIndoKemang-000007,2024-05-14,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,629,21990.0,13831710.0
TRX-SuperIndoKemang-000008,2024-03-05,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,689,349.0,240461.0
TRX-SuperIndoKemang-000008,2024-03-05,Super Indo Kemang,Jakarta Selatan,Telur Ayam Negeri,Eggs,200,269.5,53900.0
TRX-SuperIndoKemang-000008,2024-03-05,Super Indo Kemang,Jakarta Selatan,RTE Nasi Ayam Geprek,Ready-to-Eat,475,16450.0,7813750.0
TRX-SuperIndoKemang-000008,2024-03-05,Super Indo Kemang,Jakarta Selatan,Brokoli,Vegetables,929,107.0,99403.0
TRX-SuperIndoKemang-000008,2024-03-05,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,352,21990.0,7740480.0
TRX-SuperIndoKemang-000008,2024-03-05,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,601,12390.0,7446390.0
TRX-SuperIndoKemang-000009,2024-03-02,Super Indo Kemang,Jakarta Selatan,La Fonte Macaroni,Pasta,308,8990.0,2768920.0
TRX-SuperIndoKemang-000009,2024-03-02,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,518,21990.0,11390820.0
TRX-SuperIndoKemang-000009,2024-03-02,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,124,749.0,92876.0
TRX-SuperIndoKemang-000009,2024-03-02,Super Indo Kemang,Jakarta Selatan,Kanzler Sngls Keju,Snacks,51,8690.0,443190.0
TRX-SuperIndoKemang-000009,2024-03-02,Super Indo Kemang,Jakarta Selatan,La Fonte Macaroni,Pasta,163,8990.0,1465370.0
TRX-SuperIndoKemang-000009,2024-03-02,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,691,12390.0,8561490.0
TRX-SuperIndoKemang-000009,2024-03-02,Super Indo Kemang,Jakarta Selatan,Kraft Cheddar CH1,Dairy,867,23990.0,20799330.0
TRX-SuperIndoKemang-000010,2024-06-18,Super Indo Kemang,Jakarta Selatan,Kanzler Sngls Keju,Snacks,919,8690.0,7986110.0
TRX-SuperIndoKemang-000010,2024-06-18,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,857,12390.0,10618230.0
TRX-SuperIndoKemang-000010,2024-06-18,Super Indo Kemang,Jakarta Selatan,Jamur ENOKIDK100,Vegetables,303,5990.0,1814970.0
TRX-SuperIndoKemang-000010,2024-06-18,Super Indo Kemang,Jakarta Selatan,Saori Saus Tiram,Condiment,282,12390.0,3493980.0
TRX-SuperIndoKemang-000010,2024-06-18,Super Indo Kemang,Jakarta Selatan,Dada Ayam Fillet,Meat,575,749.0,430675.0
TRX-SuperIndoKemang-000010,2024-06-18,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,211,349.0,73639.0
TRX-SuperIndoKemang-000011,2023-12-12,Super Indo Kemang,Jakarta Selatan,Sedaap M/G A/Kris,Seasoning,231,3100.0,716100.0
TRX-SuperIndoKemang-000011,2023-12-12,Super Indo Kemang,Jakarta Selatan,Diamond UHT Cho 1L,Dairy,647,21990.0,14227530.0
TRX-SuperIndoKemang-000011,2023-12-12,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,71,349.0,24779.0
TRX-SuperIndoKemang-000011,2023-12-12,Super Indo Kemang,Jakarta Selatan,G/F UHT F/CRM950,Dairy,709,23990.0,17008910.0
TRX-SuperIndoKemang-000011,2023-12-12,Super Indo Kemang,Jakarta Selatan,G/F UHT F/CRM950,Dairy,226,23990.0,5421740.0
TRX-SuperIndoKemang-000012,2024-10-06,Super Indo Kemang,Jakarta Selatan,RTE Nasi Ayam Geprek,Ready-to-Eat,530,16450.0,8718500.0
TRX-SuperIndoKemang-000012,2024-10-06,Super Indo Kemang,Jakarta Selatan,Energen Vanilla 10,Beverages,376,22790.0,8569040.0
TRX-SuperIndoKemang-000012,2024-10-06,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,843,349.0,294207.0
TRX-SuperIndoKemang-000012,2024-10-06,Super Indo Kemang,Jakarta Selatan,PRB Superior 150ml,Beverages,302,17950.0,5420900.0
TRX-SuperIndoKemang-000012,2024-10-06,Super Indo Kemang,Jakarta Selatan,Buah Naga Merah,Fruits,646,349.0,225454.0
TRX-SuperIndoKemang-000012,2024-10-06,Super Indo Kemang,Jakarta Selatan,Brokoli,Vegetables,665,107.0,71155.0
TRX-SuperIndoKemang-000012,2024-10-06,Super Indo Kemang,Jakarta Selatan,RTE Nasi Ayam Geprek,Ready-to-Eat,895,16450.0,14722750.0
TRX-SuperIndoKemang-000013,2024-11-12,Super Indo Kemang,Jakarta Selatan,RTE Nasi Ayam Geprek,Ready-to-Eat,179,16450.0,2944550.0
TRX-SuperIndoKemang-000013,2024-11-12,Super Indo Kemang,Jakarta Selatan,Telur Ayam Negeri,Eggs,584,269.5,157388.0
